coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,tidInterpreted,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
69567,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:dbcd824a-52b0-4e00-a212-182dc8ccad0a,"2021-11-02 14:19:26"
69599,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:608b9cf4-1569-4c67-a622-2ac98f179bef,"2021-11-02 14:19:26"
69599,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:27c10df0-df36-420e-aa86-31f1af38a8db,"2021-11-02 14:19:26"
69589,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:81044958-66e7-48eb-abb4-10e77710173f,"2021-11-02 14:19:26"
69589,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:727839b6-146f-481f-ae5c-445c8a0d53b7,"2021-11-02 14:19:26"
69575,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:e5f5216e-b188-4649-9930-c69404aea3bf,"2021-11-02 14:19:26"
69575,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:acb52a4a-c42a-4e4a-ab6f-e4a7f846157f,"2021-11-02 14:19:26"
69565,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:add7e35f-eb13-4bf3-9a74-c7d45c53d316,"2021-11-02 14:19:26"
69565,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:af34effd-9c2b-44eb-beda-eb1783f6b95b,"2021-11-02 14:19:26"
69563,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:b137770f-58ca-42b0-ae92-f1ac03f94e19,"2021-11-02 14:19:26"
69563,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:a48e2a81-81e6-4cb2-ad30-217974010495,"2021-11-02 14:19:26"
69581,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:eb0b9af8-18fa-4885-a93e-4349fcef1ae9,"2021-11-02 14:19:26"
69581,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:13415166-713c-401b-aa77-907664758ff3,"2021-11-02 14:19:26"
69587,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:538c3803-f890-48b1-8b4d-d79800ca63bf,"2021-11-02 14:19:26"
69587,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:d51e4b38-039e-46f7-b52e-1f58cdda9d27,"2021-11-02 14:19:26"
69591,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:3883cddd-1bdb-46de-9399-153f94edeafc,"2021-11-02 14:19:26"
69591,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:9b2c134b-6bb9-4f11-a635-7b881dba5816,"2021-11-02 14:19:26"
69559,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:3c082e16-5cf3-4e8f-954b-0105487a390f,"2021-11-02 14:19:26"
69559,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:0913d690-7562-4084-b58a-b7dfebe2eaba,"2021-11-02 14:19:26"
69569,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:4b8ed46f-3826-45a4-88e0-c4265bf7bcb8,"2021-11-02 14:19:26"
69569,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:7604bec9-0208-431f-aa66-85c76ad28bc8,"2021-11-02 14:19:26"
69602,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:8a1d8a8e-aedb-4b10-ac2c-4859a7758a96,"2021-11-02 14:19:26"
69602,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:0a2ade94-bb5a-4500-9072-6b87c58fe71e,"2021-11-02 14:19:26"
69557,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:d659e2aa-a4f4-4917-8eaf-f05affeb9f4a,"2021-11-02 14:19:26"
69557,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:75105791-44ff-45d0-bb09-60550d0170f5,"2021-11-02 14:19:26"
69586,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:23de50d7-283a-436e-b516-30cf052b0567,"2021-11-02 14:19:26"
69586,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:e7861fff-c700-46d1-aff2-8a5c6753ddba,"2021-11-02 14:19:26"
69568,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:82f4684e-bd50-4cd4-8e16-1947c255ce13,"2021-11-02 14:19:26"
69568,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:6025ff6f-8405-4eb0-ab55-57f75da771a8,"2021-11-02 14:19:26"
69600,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:a1f6d3c7-56d1-4aa1-954c-bd9c30b6b70c,"2021-11-02 14:19:26"
69600,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:a2a28f96-4443-442c-976a-f439f5bbf495,"2021-11-02 14:19:26"
69593,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:d7cf319d-effc-46dd-aaab-2cb6b3a57f6c,"2021-11-02 14:19:26"
69593,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:926e163a-db6e-4eb2-b009-e86047252031,"2021-11-02 14:19:26"
69596,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:c0b89cde-8d06-4cb3-8573-d79d159649b7,"2021-11-02 14:19:26"
69596,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:e0316925-d389-4b9e-bac9-4f298a7780b2,"2021-11-02 14:19:26"
69592,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:f52d21dd-0bd4-47e8-bbaf-a2d2992087ec,"2021-11-02 14:19:26"
69592,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:221489ba-c4b9-4208-bb0e-9fb6f7677b54,"2021-11-02 14:19:26"
69588,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:5f2d20a0-0a94-42e8-a768-5227e658f08b,"2021-11-02 14:19:26"
69588,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:9f24856c-cb8e-48b8-985b-8c08851ede7f,"2021-11-02 14:19:26"
